연령,성별,보험사,상품명,총보험료,순위,특징
30,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,136216,1,최저가 ⭐
30,남,메리츠화재,무)알파Plus보장보험2511,145599,2,가성비 👍
30,남,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),148382,3,안정형 ✓
30,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,99468,1,최저가 ⭐
30,여,메리츠화재,무)알파Plus보장보험2511,105518,2,가성비 👍
30,여,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),106840,3,안정형 ✓
40,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,93005,1,최저가 ⭐
40,남,농협손해,무) NH건강할때굿플러스건강보험2504(1종 15~40세/3종 41~60세),115452,2,가성비 👍
40,남,한화손해보험,무)더건강한 한아름종합보험 2504,117759,3,안정형 ✓
40,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,104220,1,최저가 ⭐
40,여,메리츠화재,무)알파Plus보장보험2511,106913,2,가성비 👍
40,여,농협손해,무)NH가성비굿건강보험2504,109853,3,안정형 ✓
50,남,메리츠화재,무)알파Plus보장보험2511,181462,1,최저가 ⭐
50,남,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,201227,2,가성비 👍
50,남,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),202546,3,안정형 ✓
50,여,메리츠화재,무)알파Plus보장보험2511,149482,1,최저가 ⭐
50,여,롯데손해보험,무)let:smile 종합건강보험(더끌림)(2506),152650,2,가성비 👍
50,여,하나손해,무)뉴 건강하면 더 좋은 하나의 보험(2504) ,152661,3,안정형 ✓